"image","patch","method","m","sigma2","lambda","converged","resid"
2,5,"corrected",12,9.84337168981853e-05,2.86041733872912,1,7.97986320907269e-06
2,5,"corrected",15,0.000101105411122653,2.7252810605215,1,7.88371237558655e-06
2,5,"corrected",18,0.00010946637625711,2.36809509862181,1,7.57434421688372e-06
2,6,"naive",NA,0.00014131202714831,1.04401427497402,1,7.41915061423945e-06
2,6,"corrected",10,0.000138148153512,1.12581676123172,1,7.92114500691212e-06
2,6,"corrected",12,0.000137611791418038,1.13780294048762,1,7.99887620932399e-06
2,6,"corrected",15,0.000135745651429868,1.17740579013833,1,8.24572595018009e-06
2,6,"corrected",18,0.000133570619322591,1.22073713100445,1,8.49465803039532e-06
2,7,"naive",NA,5.09104372587849e-05,3.9094832063156,1,9.91952721624282e-06
2,7,"corrected",10,4.13095924290515e-05,6.35954291267746,1,1.00543997846202e-05
2,7,"corrected",12,4.05409449818808e-05,6.96938065433922,1,1.00824718233045e-05
2,7,"corrected",15,3.98952127643886e-05,7.97943595955173,1,1.01230657226985e-05
2,7,"corrected",18,3.97846831937708e-05,8.61623090997663,1,1.01428510797085e-05
2,8,"naive",NA,0.000149608929865056,1.12113645605731,1,8.24574414987951e-06
2,8,"corrected",10,0.000140305515724399,1.2973899561402,1,9.5499224701963e-06
2,8,"corrected",12,0.000137656997482055,1.34163573760829,1,9.77675540154697e-06
2,8,"corrected",15,0.00013323050750764,1.41413579543687,1,1.00662629317454e-05
2,8,"corrected",18,0.000107876814600256,1.85553539544441,1,1.05959202798229e-05
2,9,"naive",NA,6.43973272780425e-05,4.12167339968906,1,9.20807194025117e-06
2,9,"corrected",10,5.40050979977851e-05,6.51315261112958,1,9.55306155514641e-06
2,9,"corrected",12,5.27569092354917e-05,7.31202425200363,1,9.63007714232713e-06
2,9,"corrected",15,5.18761079774639e-05,8.46980557846611,1,9.71469159525403e-06
2,9,"corrected",18,5.17895572869024e-05,9.94159246607661,1,9.78850928730434e-06
3,1,"naive",NA,9.23997974910744e-05,14.2529104893696,1,1.12741487311556e-05
3,1,"corrected",10,0.000105188081654156,19.8879088370242,1,1.13761608167674e-05
3,1,"corrected",12,0.000109885141930686,22.3312966591342,1,1.14318764531464e-05
3,1,"corrected",15,0.000118095492132611,26.64065925408,1,1.15165985474925e-05
3,1,"corrected",18,0.000127681889003396,31.7391958245536,1,1.15790424320976e-05
3,2,"naive",NA,9.79176969147973e-05,1.59562239275785,1,6.61620843569803e-06
3,2,"corrected",10,4.79534866121237e-05,4.00489087543798,1,7.12371014370458e-06
3,2,"corrected",12,4.46722915813322e-05,4.54553186488643,1,7.18749694553196e-06
3,2,"corrected",15,4.21321622946927e-05,5.15533121811027,1,7.25041819790603e-06
3,2,"corrected",18,4.06197681946712e-05,5.67459890519633,1,7.29615781057619e-06
3,3,"naive",NA,9.38160445725466e-05,9.31780315000158,1,1.23867512918425e-05
3,3,"corrected",10,0.000101172794867403,12.7447723471835,1,1.25662519548405e-05
3,3,"corrected",12,0.000104346749509005,14.2595058186364,1,1.26348097323173e-05
3,3,"corrected",15,0.000110133546934758,16.8357497863126,1,1.2723542704476e-05
3,3,"corrected",18,0.000116373488929924,19.4632595347145,1,1.2766198820791e-05
3,4,"naive",NA,0.000132920969842647,2.38187719185836,1,1.13760283074295e-05
3,4,"corrected",10,0.000103202368404989,3.60352880715341,1,1.23019646144049e-05
3,4,"corrected",12,9.70893846364151e-05,4.05580315655449,1,1.25101917993014e-05
3,4,"corrected",15,9.07868438854373e-05,4.72572497489074,1,1.27512286565411e-05
3,4,"corrected",18,8.60178293917189e-05,5.54695233793357,1,1.29755679013963e-05
3,5,"naive",NA,9.90760709417654e-05,2.26918680943415,1,8.34995019672979e-06
3,5,"corrected",10,8.1141352984869e-05,3.16307919221025,1,8.62063849475464e-06
3,5,"corrected",12,8.0564213189173e-05,3.206542353078,1,8.63546137922822e-06
3,5,"corrected",15,8.25413157764078e-05,3.06644860274274,1,8.60779923291002e-06
3,5,"corrected",18,9.48737332742698e-05,2.43219554926439,1,8.43069640394281e-06
3,6,"naive",NA,0.00015573312309516,1.06926233745638,1,8.11681052486961e-06
